"index","dateiname","bytes","sha256","content_type","transkription","zeichen_ohne_leerraum","ocr_seiten"
"1","Basiskompetenzen Prüfung Sommer 2027.pdf","144171","91a41f63a416f404d046c4637cdd36e0db52b0697bdfcc0262830208f7085ee9","application/pdf","pdftotext","7515",""
"2","Entwurf_Operatorenliste_FS_nBP.pdf","259451","2dbdf4b312564c28a2380fe7d58ba7d1b4516420e86e78515f3cbc9cc8488bd5","application/pdf","pdftotext","9939",""
"3","1. Bergner_et_al2019_Fruehe_informatische_Bildung.pdf","343141","46a3395a16ad5a6071216d6ced90fcc7a832fa134e0fe9ca2bae884d99d37cd1","application/pdf","pdftotext","13455",""
"4","2. Bildungsleitlinien.pdf","899550","898bf9be6a2b6d3893122c25f82722d55402d14bf843bab07f013724f0df95e2","application/pdf","pdftotext","15914",""
"5","3. WiFF_Expertise57_Knauf.pdf","322879","8c54dfa24386edcc92337e50e4eed7276e4b7bc2ed84d641efcf1126c0f6f431","application/pdf","pdftotext","25217",""
"6","4. miniKIM2023.pdf","541967","345497ab8cecf91a8d21345720d0146b2352cc6c2f10367c851d5b78a9a46457","application/pdf","pdftotext","5636",""
"7","5. Broschuere_Informatik_2017.pdf","2578887","3650fd535ad0aa5546ab542b87ad2421269f9352ea131f491ebfdd5141812977","application/pdf","pdftotext","35842",""
"8","6. BeeBotBooklet.pdf","2024832","5eb3433195d8aebe3d777fea9788266ca1df39e08f602721e096581331f8062c","application/pdf","pdftotext","10212",""
"9","PT2_Sommer 2027_Basiskompetenzen.pdf","208204","d2b5c4688933c40131ab1b26ec33b8fde3053156e820fec7c60a5564f9d02e10","application/pdf","pdftotext","7069",""
"10","2014 Borg_Laufs Psychische Grundbedürfnisse von Jugendlichen.pdf","2503133","397a56559ce4c945a64855d1a62d1f559e3521fce9ed721d297d09fde9a76f13","application/pdf","tesseract-deu+eng","24547","7"
"11","2024 Simon Beziehungsarbeit_Ausschnitt.pdf","677491","304cfc6aab223014d2c0759098fb5bba8892cf9f0ec87f31d201b1037db09bb0","application/pdf","pdftotext","6052",""
"12","Handbuch offene Kinder-und Jugendarbeit_Beziehungsgestaltung.pdf","2545521","03c2e2c215f75bb6c242c4d9ed8d55200ef88afe2f565fdf3d5d2bd9bbabea7f","application/pdf","tesseract-deu+eng","12915","7"
"13","2021-E+E-Dialogische-Haltung.pdf","466740","4e62310f5a4f0e04c3f92b5c5a790d9c8c9a2ff5b257a938e85849492d5b4ef5","application/pdf","tesseract-deu+eng","3256","1"
"14","2021-E+E-Aktives-Zuhoeren-S128f.pdf","402886","ef70bd5f1a3502cb9d3b667b1eb28c679e2c0ed377908acb88b4549ca9bdbc51","application/pdf","tesseract-deu+eng","2987","1"
"15","Sturzenhecker_Konzepte.pdf","771219","11b26c8edd6a1bc65a8032622bc1d829eaff79b8f39615a75244f0edfc249424","application/pdf","pdftotext","34313",""
"16","AGJF_OKJA-Grundsaetze-und-Leistungen_Auszug.pdf","5507494","70e55ffad4b960126a3dae9534da1c18bd966fbdebd2cca26778eb5734e84bc4","application/pdf","tesseract-deu+eng","19449","10"
"17","KVJS-Ratgeber-Schutzauftrag_bearbeitet OKJA.pdf","413820","daecfbfeebd3929ed6b639321b0e73513db10ce74ad329deb3523dea2a9df0d8","application/pdf","pdftotext","4894",""
"18","2024 Paritätisches JW NRW Arbeitshilfe Schutzkonzepte.pdf","4389603","5fbbc16d3b98c9e7626061f4d6b21041dc0be6052df4a3bd847f6ec564ea45bb","application/pdf","tesseract-deu+eng","15677","7"
"19","2020-LVR-Rheinland-Wissen-was-wirkt_Auszug.pdf","1979740","bf390407cff8b15e242537e53adc99541f4c95bb367d9b0984bff7af8a53f111","application/pdf","tesseract-deu+eng","6175","4"
"20","2022 Grundkonzept OKJA Outlaw gekürzt.pdf","6094611","6a779c2a6819f7dade22507297a35c23d5580f035d99eedd01b758edd9bc3e91","application/pdf","tesseract-deu+eng","20447","9"
"21","Kinderschutz-und-krisenintervention-in-der-OKJA_Begriff.pdf","271315","ab13e9fe95e769c39a3dc04c73730f47154f9db3d0f996743fe114a164c2377f","application/pdf","pdftotext","8719",""
"22","2024 Paritätisches JW NRW Arbeitshilfe Formen KWG.pdf","5169344","c630dae319c9b13f0139d2a6e176b2484be4f8d79601a69fb74eb34968951a5a","application/pdf","tesseract-deu+eng","16863","7"
"23","PJW_Arbeitshilfe_Schutzkonzepte_2024.pdf","550659","356da2b139269696c1cd66137f443f9d0561a10e74ced88bd77b97922ecd7b30","application/pdf","pdftotext","18544",""
"24","Arbeitshilfe Kinder-und Jugendschutz_Gefährdung des Kindeswohls_Beteiligung als Prävention_2022 Kopie.pdf","101881","f5aee686f9989c93fda64b9b9a5cd215c3af1385e8d3261ab36f14fd67455242","application/pdf","pdftotext","3455",""
